"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Security","SQL Injection","0","0","48","0","0"
"","UI Tests","e2e/add-to-cart.spec.ts","0","0","5","0","0"
"","Security","Authentication Bypass","0","0","8","0","0"
"","","","0","0","27","0","0"
"","API Tests","Authentication","0","0","3","0","0"
"","UI Tests","e2e/payment-execution.spec.ts","0","0","5","0","0"
"","Security","XSS","0","0","30","0","0"
"","API Tests","Cart","0","0","3","0","0"
"","Performance","k6 Load Test","0","0","4","0","0"
"","UI Tests","e2e/order-confirmation.spec.ts","0","0","4","0","0"
"","UI Tests","e2e/product-search.spec.ts","0","0","5","0","0"
"","SCA","Trivy","0","0","1","0","0"
"","UI Tests","e2e/user-login.spec.ts","0","0","2","0","0"
"","Security","Rate Limiting","0","0","4","0","0"
"","API Tests","Products","0","0","1","0","0"
"","UI Tests","e2e/checkout-process.spec.ts","0","0","3","0","0"
"","UI Tests","e2e/purchase-flow.spec.ts","0","0","1","0","0"
"","API Tests","Payment","0","0","3","0","0"
"","API Tests","Order","0","0","2","0","0"
"","Security","JWT Tampering","0","0","3","0","0"
"","UI Tests","e2e/user-register.spec.ts","0","0","2","0","0"
"","SAST","Semgrep","0","0","1","0","0"
"","Security","Authorization Bypass","0","0","1","0","0"
